user_name,user_country,review_datetime,review_text,review_rating,source,sight,country_rus
Анна Video,russia,26.08.15,"Где еще, в какой стране, разрешать полазить в кратере действующего вулкана? А искупаться в ""медвежьей чаше"" - диком озере в кратере? Раньше я боялась гор, ""высоко, далеко"", но после восхождения на Авачинский (5 часов в гору) меня так и тянет полазить еще где-нибудь! А красная икра почти каждый день? Очень хотелось наесться до отвала, но не вышло! Все равно вкусно и хочется еще! И вертолетные экскурсии на высоте, просто супер! Горячие источники, медведи, поедание ягод с куста, лавовые потоки, рыбалка, катание на попе по снегу с вулканов - да чего там только нет! Отдых и душой и телом.",10,tripadvisor,Полуостров Камчатка,Россия
pss1952,russia,24.08.15,Рай для путешественников. Больше нигде не встретишь таких экзотических мест и захочется вновь и вновь посетить это место.,10,tripadvisor,Полуостров Камчатка,Россия
Irba2011,russia,21.08.15,"Камчатка - это вулканы, гейзеры и термальные источники. Мы жили южнее Петропавловска-Камчатского. Вулканы были кругом. Красота невероятная. Гейзеры видели в районе Мутновского и в Долине Гейзеров. А термальные источники буквально везде. Каждая экскурсия заканчивалась купанием в источниках. Проживание есть разного уровня - от частных домов с экскурсионным обслуживанием за 2000 в день до приличных отелей, где номера от 6000. Экскурсии тоже разноуровневые: можно ходить туристическими тропами, можно на джипах, можно на яхтах и вертолетах. Как доходы позволяют.",10,tripadvisor,Полуостров Камчатка,Россия
0707SandraS,russia,13.08.15,"Камчатка - самое красивое место, которое я когда-либо видела: бескрайние просторы гор, вулканов, лесов, дикие животные, живущие ""бок-о-бок"" с людьми, океан! Местные жители очень отзывчивые и добрые! Всегда помогут, подвезут, расскажут. На Камчатке можно отдохнуть и дешево и дорого! Все зависит от вашей физической подготовки, экипировки, свободного времени и готовности к трудностям. За 16 дней я успела подняться на 3 вулкана (Авачинский, Горелый и Мутновский), сплавать в Русскую бухту, позаниматься два дня серфингом, побывать в 3 разных местах с горячими источниками, побывать на ""дачных источниках"" или малой долине гейзеров, сплавиться на рафте по реке Быстрая и сходить на экскурсию на лошадях, подняться на Мишенную сопку и сходить на Маячный мыс. Потратила около 40 тыс рублей, с учетом того, что жила бесплатно по программе каучсерфинга и на Авачинский вулкан поднялась без гида. Но чтобы туда ходить без гида, нужен опыт! Много где я передвигалась автостопом и на автобусе. Так что при желании можно относительно недорого побывать на Камчатке.",10,tripadvisor,Полуостров Камчатка,Россия
Ольга С,russia,13.08.15,"А вам слабо в этом возрасте отправиться в экспедицию неизвестно на сколько лет(!), без гарантий всего, даже жизни и войти в историю как человек, сделавший первое полное научное( заказ-то от Академии Наук!) ""Описание Земли Камчатки""!!! Я говорю о Степане Петровиче Крашенинникове. Его труд читается очень легко и интересно. Познавательно и до сих пор актуально( с некоторыми уточнениями) География, этнография, зоология, ботаника, экономика, начала вулканологии-все-все-все о полуострове для всех интересующихся Открывайте дя себя нашу Родину! А она начинается именно здесь!!! Приезжайте. И точка.",10,tripadvisor,Полуостров Камчатка,Россия
Ivestia,russia,27.07.15,"Туристом в этой части земли быть великолепно - развлечения на любой вкус гарантированы, при условии финансовых затрат. Ибо Камчатка - довольно дорогое место, а все самые интересные места расположены так, что попасть в них можно исключительно на корабле/вертолете/снегоходе. Природа местная запоминается навсегда. От вулканов просто дух захватывает. Тихий океан также оставляет незабываемое впечатление. Камчатка - это место, в котором стоит побывать каждому, чтобы вспоминать всю жизнь!",10,tripadvisor,Полуостров Камчатка,Россия
ирина г,russia,20.07.15,"Я живу на Камчатке уже более 40 лет, я родилась здесь. Много красот и достопримечательностей повидала. Это уникальное место на планете, 8 чудо света. Тысячи туристов иностранных и российских приезжают к нам, и у нам есть, что показать. Горные реки, горячие источники, природные парки, действующие вулканы, всего не перечесть , это надо видеть своими глазами. Приезжайте в гости.",10,tripadvisor,Полуостров Камчатка,Россия
Yury49,russia,09.07.15,"Выход горячей воды из под земли с температурой 85 - 90 градусов сельсия. В этой воде можно сварить яйцо. В ваннах вода смешивается с холодной водой до температуры +40-42 градуса. В этой воде можно спокойно купаться. В воде рекомендуется находиться не более 15-20 минут, потому что в воде почти вся таблица элементов Менделеева. Термальные источники.",10,tripadvisor,Полуостров Камчатка,Россия
Maris S,russia,03.07.15,"Полуостров Камчатка, это удивительный край нетронутой природы и большого разнообразия растительного и животного мира. На Камчатке большое количество природных заповедников, заказников и парков, которые покоряют сердца необыкновенной красоты природой, ""опоясывающими"" вулканами.",10,tripadvisor,Полуостров Камчатка,Россия
Алина Т,russia,23.06.15,"Замечательный край с отзывчивыми и добрыми людьми. необыкновенная и удивительная природа, медведи, гейзеры, вулканы, тихий океан и лосось! Впечатляет! Если есть возможность и ищете приключений вам Сюда!",10,tripadvisor,Полуостров Камчатка,Россия
Elena A,russia,02.06.15,"Если вам хочется экстрима, рыбалки и дикой природы, то вам обязательно нужно посетить этот край! Заснеженные вершины вулканов, трава выше человека, грибы, рыба, а краски природы какие, чудо! Купание в горячих источниках, полет на вертолете над вулканами, что еще вы хотите? Все для вас! Затрат ноте путешествие, конечно, но вспоминать будете и захочется повторения!",10,tripadvisor,Полуостров Камчатка,Россия
Марина Б,russia,02.06.15,"Май. Камчатка. Только только стал стал сходить снег. Долго думали куда бы еще съездить. Выбрали Малки - природные горячие источники! Когда добрались был уже день. Народа было очень много. Въехали на территорию (въезд 600 руб), нашли свободное место. Расположились. Погода располагала не очень: было пасмурно. Квакали лягушки. Пахло шашлыками! Здорово!!! В источники не полезли - испугались: горячо и мелко. Пошли в бассейн (еще 300руб). Было супер: вода, как будто мыльная. Сразу же ушла боль в руке и ноге (повредила на снегоходе). Пробыли минут 30. Решили пора выходить. Ощущения не описуемые!!!! Все на Камчатку!!!!",10,tripadvisor,Полуостров Камчатка,Россия
Гена Н,russia,18.05.15,"Просто безумное,дикое , прекрасное, необычное место на нашей планете. Я в жизни ни чего подобного не видел , а какая рыбалка, вулканы, океан. Жаль только что туризм не развеет и не каждый россиянин может позволить прилететь. Ванны серо водородные просто прелесть",10,tripadvisor,Полуостров Камчатка,Россия
Oleg6510,russia,15.04.15,"Одно из красивейших мест на Земле. Вулканы, термальные источники, рыбалка... Жаль, что инфраструктура доступного для среднего кошелька туризма развита слабо. Хозяйственные бы руки да к умной голове...)) Ну и друзья камчадалы отличные, милые люди!",10,tripadvisor,Полуостров Камчатка,Россия
Ирина М,russia,27.03.15,"Фантастическая природа: горячая земля, по которой течет ледяная вода с гор.Видели и россомаху, и медведя, и лис, а что уж говорить о местном специалитете - евражках. Мы брали джип-тур и ребята отвозили нас в нетронутые и нехоженые места. Красота необыкновенная!!!! Были и в этнической деревне ительменов, и на морской прогулке, летали в Долину Гейзеров (а как же без нее). Да, многие пишут, что отдых недешевый и перелет дорогой. К сожалению, у нас в России везде так. Но хотя бы один раз в жизни все это увидеть просто необходимо. Да, для такого отдыха надо иметь определенный склад характера, это вам не кабачком на пляжу валяться. Но кто решается на это, получает впечатления на годы и годы вперед. Кстати, ездили мы далеко не молодежной компанией (ср.возраст - 50 лет)",10,tripadvisor,Полуостров Камчатка,Россия
Елена П,russia,13.02.15,"Цены, конечно, неплохо бьют по бюджету. Отдых не из дешевых, мягко говоря. Но чего стоит эта дикая природа, величественные вулканы, насыщенные зеленью сопки посреди города...",10,tripadvisor,Полуостров Камчатка,Россия
FAU_vstk,russia,29.01.15,"Прекрасная природа, вулканы, горячие источники! Из минусов - дорогой перелет, просто погулять негде, нужна машина/снегоход/вертолет.",10,tripadvisor,Полуостров Камчатка,Россия
aller0d,russia,28.01.15,"Природа, катания на лыжах, этнические поселения малых народов, катание на хаски, океан, чистый воздух",10,tripadvisor,Полуостров Камчатка,Россия
Artemyartemy,russia,15.01.15,Самый чистый и богатый край на земле! Лучшие вулканы и нетронутая природа! Самый чистый воздух! Большое количество снежных склонов!,10,tripadvisor,Полуостров Камчатка,Россия
ISTRUK766,russia,06.12.14,"Замечательные люди. Энтузиасты, влюбленные в свой край. Очень низкий уровень жизни для таких непростых условий. Высокие цены на все.",10,tripadvisor,Полуостров Камчатка,Россия
Oля Спирица,russia,18.11.14,"Любите ли Вы путешествовать так, как люблю это делать я?! Если Вы ищите место, где Вы могли бы обрести себя, вдохнуть всей грудью вкуснейший воздух, с высоты птичьего полета увидеть край света, забравшись на неприступную вершину, потрогать теплый медвежий след или увидеть медвежонка, бегущего перед машиной, и еще - обрести свое счастье... Тогда Вам туда - на Камчатку, удивительный мир на краю земли!",10,tripadvisor,Полуостров Камчатка,Россия
Николай В,russia,15.11.14,"Камчатка - необычное место. Тут довольно прохладно, очень снежно зимой. Растительность небогатая, много тундр, гор и труднодоступных мест. И главное отличие - практическое отсутствие человеческого наследия - тут не было крепостей, замков и армии не топтали поля. Тут дикая природа в которой человек был частью и выживал со всеми. Много красивых мест, причем красота суровая такая, жесткая. Тут каждое лето нескольких людей съедают медведи, поэтому страшно в лесу ночью - хотя днем лес очень милый ))",10,tripadvisor,Полуостров Камчатка,Россия
kantemir,russia,15.11.14,для любителей рыбалки самое лучшее место.в устьях на речках столько рыбы даже самый не везучий рыболов уйдет с уловом..а когда рядом гуляют медведи рыбалка превращается в экстрим. после рыбалки можно отдохнуть в термальных источниках в паратунке. впечатления незабываемые хочется возвращаться вновь и вновь.,10,tripadvisor,Полуостров Камчатка,Россия
Оксана В,russia,09.11.14,"Невероятный отдых для любителей дикой природы. Вулканы, гейзеры, рыбалка и охота. Удивительная природа. Зимой - горные лыжи, снегоходы и сноуборд, Горячие бассейны с термальной водой под открытым небом круглый год.",10,tripadvisor,Полуостров Камчатка,Россия
Natuson,russia,09.10.14,"Мы совершили невероятное путешествие, пройдя маршрут в районе Ключевской группы вулканов, а также взобравшись на вулканы Горелый и Мутновский. Во второй половине сентября мы стали последней группой туристов этого сезона. Оно и понятно: уже довольно прохладно, ночью морозец, погода неустойчива. Но зато тундра раскрашена в удивительные цвета! Виды потрясающие! А еще много брусники, голубики и шикши! Вулканы дымятся, еще пышит жаром свежая лава Толбачика, встречаются сытые медведи, хитрые лисы и непуганные зайцы, носятся тарбаганы и евражки. Камчатка прекрасна в любое время года и удивительна в своем многообразии!",10,tripadvisor,Полуостров Камчатка,Россия
Оля К,russia,28.09.14,"Мне посчастливилось провести 2 недели на Камчатке. Собрав рюкзак и забронировав место в туристической группе, я отправилась в путешествие к вулканам. В интернете можно найти множество туров с различной степенью сложности и комфортности. Наш маршрут лежал к Ключевской группе вулканов. Виды открываются там конечно шикарные! Здесь спокойно гуляют медведи, бегают суслики и нежатся на камушках сурки. А вулканы иногда прячут свои вершины за облаками. В августе там замечательно, еще нет осенних холодов и комаров почти нет. Так что если вас не пугают ночевки в палатке и хождение с рюкзаком, рекомендую посетить это замечательное место!",10,tripadvisor,Полуостров Камчатка,Россия
tibet123,russia,25.09.14,"Дикий край, где мобильная связь работает только в городах. Шикарная рыбалка в горах и на море, масса рыбы,рядом бродят медведи. Для тех кто фанатеет от рыбалки и охоты, все остальное достаточно скучно.",10,tripadvisor,Полуостров Камчатка,Россия
cool_alaska,russia,05.09.14,"Камчатка прекрасна со своими вулканами и горами, Авачинским заливом и Тихим океаном. Если вы поедете туда, вам надо будет сделать: посетить Долину Гейзеров, горячие источники в Паратунке и, конечно, половить рыбу. В городе Петропавловске особенно делать нечего, если у вас там нет знакомых. Но... Возьмите такси и поезжайте на объездную дорогу. С вершины горы вы насладитесь отличными видами!",10,tripadvisor,Полуостров Камчатка,Россия
Ирина Е,russia,28.08.14,"В этом году мне удалось побывать на Камчатке!!! Первая поездка состоялась в декабре перед Новым годом. Еще в аэропорту моему взору предстали два величественных гиганта вулкана. Большое впечатление получила от источников в Паратунке. Это незабываемое ощущение. Когда вокруг лежит снег, а из бассейна идет пар!!!! А летом меня повезли на побережье Тихого океана. Вот это мощь!!!!",10,tripadvisor,Полуостров Камчатка,Россия
sashulya_mart,russia,04.08.14,"Лучшее время года это лето и зима. Летом можно отправиться в Паратунку, на океан, походить по вулканам. Покататься по авачинской бухте. В июне еще можно покататься на горных лыжах. А зимой вас порадуют Сибирские лайки и катание на них. Горные лыжи и Паратунка. Лучше снять квартиру. Цена средняя 1500 рублей. Гостиницы дорогие, около 5000. Ну и цены в магазинах и на рынках оставляют желать лучшего!",10,tripadvisor,Полуостров Камчатка,Россия
fIrina03,russia,23.07.14,"Камчатка- край света, но необычный. Впечатляет природа, особенно вулканы, долина гейзеров, термальные источники.",10,tripadvisor,Полуостров Камчатка,Россия
Александр В,russia,03.07.14,Понравилась уникальная природа полуострова Камчатка это одно из не многих мест в России где сохранилась природа в первозданном виде. Где люди живут в гормонии с преродой которая больше не где не встречается. Население преветливое и готовое помочь и подсказать. Особенно можно отметить пляж из вулканического пепла. Обязательно стоит посетить этот прекрасный край,10,tripadvisor,Полуостров Камчатка,Россия
Oleg009,russia,22.06.14,"Что сказать про Камчатку, она поражает своим убранством еще на подлете!!Если погода солнечная, то из окна самолета открываются внеземные виды!!!Не много конечно портит впечатление аэропорт, но об этом скоро забываешь!!Как только доезжаешь до первого памятника с медведем!!Сам городок Петропавловск выглядеть примерно так же как и вся периферия России, ну вот природа!!!В городе есть не сколько точек со смотровыми площадками, которые стоит обязательно посетить!!!Прогуляться по набережной, посидеть на лавке, помечтать о чем-нибудь, посмотреть на забавно плавающих Сивучей!!Там же рядом находиться батарея времен войны!!Есть не сколько не плохих музеев!!!!Но все это конечно ерунда по сравнению с остальным!!!Обязательно надо съездить на горячие озера, причем и дикие и на базы отдыха!!Рыбалка на Камчатке-это вообще отдельная история, одним глазом на рыбу, другим за медведями смотришь!!Так же есть много развлечений, катание на квадрациклах на вулкан, сплав по горной реке ,и.т.д., ну если есть возможность посетите долину Гейзеров!!!В общем Камчатка не оставит никого равнодушным!!!",10,tripadvisor,Полуостров Камчатка,Россия
Кирилл У,russia,15.06.14,"Очень красивый полусотров! Замечательная природа, много удивительных мест! Вулканы видно прям из города. Раз в год весь город собирается для восхождения на вулкан Авачинский! Есть много сопок для восхождения, где можно сделать огромное колличество замечательных фотографий!",10,tripadvisor,Полуостров Камчатка,Россия
Наталья Е,russia,06.06.14,"О! Если вы еще не были на Камчатке..... И вам нужен мир, где бушует океан, звери гуляют свободно, Земля выпускает свой гневный пар, в земляных кастрюльках варится глиняный суп..... Вам на Камчатку!!!!! Да, далеко! Да, дорого! Но это незабываемое путешествие в мир романтики! В августе вы сможете побывать в гостях у двенадцати месяцев, поднимаясь, например на вулкан Горелый. И это будет ваша сказка. Подняться на конус Горшкова и запечь картошку в углях, чуть разрыв верхний слой остывшей лавы,- это чуть странно для обычной жизни. Но для вашего камчатского путешествия- это будет обыденная находка дня. Откройте для себя этот удивительный, красивый, сказочный, нетронутый мир! Может быть, если бы ВСЕ увидели Камчатку, то перестали бы мучить нашу Землю и жили бы в гармонии с ПРИРОДОЙ.",10,tripadvisor,Полуостров Камчатка,Россия
Yury M,russia,08.05.14,"Живу на Камчатке более 20 лет, летом увлекаюсь трекингом. Но чем больше я посетил мест на Камчатке, тем больше понимаю, что увидел только малую часть этой замечательной природы. Самое главное, здесь на достаточно малой территории, например в районе вокруг Петропавловска-Камчатского, можно увидеть совершенно различные уникальные памятники природы. Это и кратер действующего вулкана Мутновский, и лунный пейзаж кальдеры вулкана Горелый, и ядовито-голубые озера в кратерах этого вулкана. Можно совершить восхождение на домашний вулкан Авачинский, посетить Налычевскую долину с ее уникальными термальными источниками. А еще - обалденная рыбалка в океане и на реках, лежбище сивучей в черте города, сплавы по рекам, уникальная долина реки Паратунки с множеством туристических баз с термальными бассейнами. И это только вокруг Петропавловска. А еще Долина Гейзеров, Курильское озеро, вулканы Острый и Плоский Толбачик, Ключевской, Безымянный, Бакенинг и множество других. Такого вы больше нигде не увидите. К сожалению посетить все это представляет определенные сложности. Самое главная проблема - высокая цена на авиабилеты, проживание в отелях и экскурсии. Кроме этого - плохо развитая инфраструктура, никакие дороги. В большинство мест можно добраться только на вахтовках и вертолетах. Но все-таки, Камчатка стоит того, что бы хоть раз в жизни увидеть это уникальное место. Лучшее время для посещения, август и первая неделя сентября. В июле, особенно в начале, в горах еще лежит снег.",10,tripadvisor,Полуостров Камчатка,Россия
Sergey K,russia,04.04.14,"Мечтал побывать на Камчатке с советских времен, но очень дорог был перелет (помню - сумасшедшие 160 рублей!). Посчастливилось оказаться здесь в декабре. Перелет, кстати, не показался очень дорогим (14000 рублей из Москвы и обратно). Впечатлен уникальной Авачинской бухтой, обрамленной величественными Корякским, Авачинским и Вилючинским сопками-вулканами. Восхищен Халактырским побережьем Тихого океана с черным вулканическим пляжным песком. Очищен и согрет бальнеологическими термальными водами Паратунки. Тепло встречен и угощен в корякском медвежьем угле, где пообщался не только с камчатскими медведями, но и с ездовыми собаками. Погружен в перипитии петропавловского боя с англо-французами на Никольской сопке. Заворожен Свято-Троицким Собором на фоне домашних вулканов и Церковью Петра и Павла на фоне Авачинской бухты. Где еще удастся увидеть столько природных чудес и проникнуться великой русской историей казаков-землепроходцев, мореходов Беринга, Кларка и Лаперуза, а также защитников отечества в двух войнах - Крымской и Великой Отечественной? А начинать посещение Камчатки рекомендую с осмотра монумента елизовских медведей ""Здесь начинается Россия"".",10,tripadvisor,Полуостров Камчатка,Россия
Desislava M,russia,29.03.14,"Я очень много путешествовала по стране и думала, что ничто меня уже не удивит, но только не Камчатка. Марсианские пейзажи, текущая в 3 метрах лава, жар которой обжигает лицо, но рядом с которой вполне можно стоять и фотографировать, постановка палатки на черный вулканический пепел, блуждание по кратеру вулкана в клубах дыма, который пахнет серой, хлором и еще черт знает чем, и понимание, что новость в духе ""ветер вырвал остановку в Петропавловске-Камчатсоком"" никого не удивляют. Самая большая проблема путешествий на Камчатку - очень дорогие авиабилеты в летнем сезоне. Прямой рейс может стоить 50-60 тысяч, тогда как зимой, если купить билеты заранее, можно уложиться в 10-15 тысяч (даже зимой там есть, что делать - кататься на собака, на лыжах, ездить на вулканы на снегоходах). Полуостров огромный, и если хочется увидеть все разнообразие края, то прийдется ехать 500 км. на Север до Ключевской группы вулканов и чуть меньше на юг до Курильского озера. Вертолетом путешествовать дорого, надо быть готовым к тому, что прийдется целый день ехать до места на внедорожнике или камазе с пассажирским кузовом. Гостиницы нам встречались только в районе Петропавловска, мы жили на базе отдыха ""Голубая лагуна"" в Паратунке, где были даже горки, как в аквапарке, в бассейне с термальной водой. Все остальное время жили только в палатках. Местные турфирмы вполне справляются с тем, чтобы обеспечить приезжих всем необходимым - подготовленной машиной, нужным снаряжением и едой, гиды дружелюбные. Есть много мест, куда можно попасть даже с физической подготовкой ниже среднего - подняться на вулканы Горелый и Мутновский может практически каждый.",10,tripadvisor,Полуостров Камчатка,Россия
Марьяна Т,russia,26.03.14,"Люди, Камчатка - это то место, где надо побывать хотя бы раз в жизни! А лучше несколько раз! Я живу здесь, и всех красот еще не увидела, каждый год я планирую какие-то места, в которых еще не бывала, и не устаю удивляться красоте природы! Камчатка - разная настолько и потрясающая одновременно, что всю жизнь, наверное, можно по ней путешествовать и все равно останутся места, в которых ты еще не бывал....",10,tripadvisor,Полуостров Камчатка,Россия
Vladimir T,russia,07.03.14,"По дороге из аэропорта Елизово в Петропавловск стоит памятник со надписью ""Здесь начинается Россия"". И действительно именно с этого часового пояса солнце встает над страной. Несмотря на то, что географически это полуостров, фактически - остров. Добраться можно только на самолете. Во времена СССР из Владивостока ходили теплоходы, но это уже в прошлом. Через Чукотку нормальных дорог нет. По богатству впечатлений - одно из лучших мест в мире. Самое большое на планете количество вулканов, термальные источники, гейзеры, горные лыжи, рыбалка. Побывать стоит обязательно!",10,tripadvisor,Полуостров Камчатка,Россия
Полина Б,russia,03.03.14,"вроде такой небольшой полуостров, но очень много интересного. много снега, гор, вулканов...... очень доброжелательные жители. конечно, интернет очень плохо работает, я бы сказала, что вообще не работает((( но зато отдохнешь ото всех)",10,tripadvisor,Полуостров Камчатка,Россия
Елена п,russia,01.03.14,"Друзья мои! Если вы хотите стать свидетелем извержения вулкана, гейзеров и вы легки на подъем - то Вам прямой путь на Камчатку! Красивейшие места!! А если вы еще и любитель рыбалки - то однозначно!!! желаю посетить этот край!!!",10,tripadvisor,Полуостров Камчатка,Россия
Sikarashka,russia,27.02.14,"Это потрясающее место! Я влюбилась окончательно и бесповоротно в Камчатку ! Тут все , океан , природа , животные , вулканы , реки , озера ! Каждый человек должен тут побывать!",10,tripadvisor,Полуостров Камчатка,Россия
Nina Z,russia,25.02.14,"если любите горы, снег и природу в общем, то вам сюда. зимой, видимо, очень холодно, не была, не знаю, а летом отлично - лучше всего ехать в августе, когда тепло и рыбалка в разгаре. дороги жуткие, можно сказать ,что их нет вообще, даже федеральная трасса просто отвратительная, в большинство распиаренных мест можно попасть только на вертолете, что дорого и, как по мне, опасно. если есть время и возможность, берите гида на машине повышенной проходимости - полюбуетесь красотами из окошка)",8,tripadvisor,Полуостров Камчатка,Россия
Andrs64,russia,20.02.14,"Мне часто приходилось бывать на Камчатке, в основном по работе. Сразу, как только сходишь с трапа самолета, перед тобой открывается неповторимая картина с видом на Авачинскую и Корякскую сопки. В районе Петропавловска много красивых и интересных мест. Но, если будет возможность, то попытайтесь доехать из Петропавловска до Ключей. Далеко, долго? Да, но зато такие пейзажи вы не увидите нигде. Остановитесь в Малках, покупайтесь в натуральных термальных источниках. Заедте в Эссо. Перед Ключами вы увидите уникальные вулканы, в том числе и знаменитый Толбачек, А в самих Ключах перед вами откроется самый красивый вулкан- Ключевская Сопка, с дугой стороны- Шивелуч, а совсем рядом гора Спящая Красавица. Ну а Долина Гейзеров... это уж как повезет с погодой. Обязательно нужно съездить хотя бы на денек в Паратунку.",10,tripadvisor,Полуостров Камчатка,Россия
Zorrosr2,russia,11.02.14,"Январь-Февраль - лучшее время горнолыжного отдыха на Камчатке. Есть несколько трасс, как в самом городе, так и за его пределами. Самое лучше место на мой взгляд - Красная Сопка. Находиться в центре г. П-Камчатского. Там самые длинные трассы. Так же можно покататься по склонам вулканов (для экстрималов)",10,tripadvisor,Полуостров Камчатка,Россия
vanosnow,russia,07.02.14,"Природа очень красивая: чистый воздух, чистые горные реки, озера, животные, ягоды, шишки. Все идеально! Из недостатков: город Петропавловск - Камчатский не очень чистый, и не самый красивый.",10,tripadvisor,Полуостров Камчатка,Россия
StrangerSU,russia,02.01.14,"Давно хотел побывать на Камчатке, и вот, свершилось. Слетал туда в декабре, т.к. в это время стоимость авиабилетов почти в 10 раз ниже периода июнь-август. При планировании путешествия на Камчатку стоит учесть, что мест, где примут к оплате банковские карты международных платёжных систем, очень мало. Поэтому, вас выручат банкоматы. Аэропорт Елизово находится в стадии реконструкции. В настоящее время он очень неудобен, получение багажа иногда приходится ждать на улице, регистрация на рейс только после досмотра, во время досмотра на ручную кладь служба безопасности аэропорта наклеивает наклейки, тем самым пачкая её. На первом этаже очень тесно, на втором, как правило, свободно. Остаётся надеяться на то, что после реконструкции аэропорт станет более просторным и удобным.",10,tripadvisor,Полуостров Камчатка,Россия
